30;42;NAME
55;62;DATE
76;94;LOC
97;102;LOC
106;115;DATE
273;286;LOC
329;341;NAME
347;353;AGE
409;416;DATE
851;858;DATE
1054;1060;DATE
1518;1524;DATE
1771;1776;NAME
1891;1897;AGE
1919;1924;DATE
2016;2025;DATE
2125;2132;DATE
2176;2183;DATE
2294;2301;DATE
2392;2399;DATE
2436;2443;DATE
3515;3522;DATE
4989;4996;DATE
6690;6697;DATE
6929;6936;DATE
7110;7115;NAME
7341;7348;DATE
7457;7464;DATE
7601;7608;DATE
7756;7763;DATE
7829;7836;DATE
8983;8992;DATE
8996;9005;DATE
10440;10449;DATE
10474;10481;DATE
10639;10644;NAME
10648;10658;TEL
11265;11273;LOC
11514;11522;LOC
